variable_id,class,lower_bound,upper_bound,lower_inclusive,upper_inclusive,score,units,notes
Fire,Low,0,0.25,TRUE,TRUE,1,probability,Modelled fire probability or suitability
Fire,Moderate,0.25,0.5,FALSE,TRUE,2,probability,Modelled fire probability or suitability
Fire,High,0.5,0.75,FALSE,TRUE,3,probability,Modelled fire probability or suitability
Fire,Very High,0.75,1,FALSE,TRUE,4,probability,Modelled fire probability or suitability
WBGT,No risk,0,26.6,TRUE,TRUE,1,degrees C,Monthly average maximum WBGT heat-stress screening category
WBGT,Low,26.6,29.3,FALSE,TRUE,2,degrees C,Monthly average maximum WBGT heat-stress screening category
WBGT,Moderate,29.3,31,FALSE,TRUE,3,degrees C,Monthly average maximum WBGT heat-stress screening category
WBGT,High,31,32.2,FALSE,TRUE,4,degrees C,Monthly average maximum WBGT heat-stress screening category
WBGT,Extreme,32.2,35,FALSE,FALSE,5,degrees C,Monthly average maximum WBGT heat-stress screening category
WBGT,Critical,35,100,TRUE,TRUE,6,degrees C,Monthly average maximum WBGT heat-stress screening category; 35°C upper screening class
